% Features, Reduction Technique, Classifier, Score, Duration, Error,0.5280987,0.528098671
0.1,Truncated SVD,Linear Discriminant Analysis,0.5831314,0.055736001,,,
0.1,Sparse PCA,Linear Discriminant Analysis,0.5831314,0.083556016,,,
0.1,Non-Negative Matrix Factorization (reg),Bernoulli Naive Bayes,0.5831203,0.042627048,,,
0.5,Dictionary Learning,AdaBoost,0.5830897,3.639655634,,,
0.5,Dictionary Learning,Voting,0.5828978,518.1038619,,,
0.5,CIFE,Nearest Neighbors,0.5827003,483.2472798,,,
0.5,JMI,Nearest Neighbors,0.5824319,437.8434974,,,
0.5,MIM,Nearest Neighbors,0.5824040,429.5486345,,,
0.5,MIFS,Nearest Neighbors,0.5824040,396.800837,,,
0.1,MIM,Quadratic Discriminant Analysis,0.5823860,1792.583689,,,
0.1,LDA,Quadratic Discriminant Analysis,0.5811412,0.019583948,,,
0.5,LDA,Quadratic Discriminant Analysis,0.5811412,0.018387183,,,
0.5,Non-Negative Matrix Factorization (reg),Passive Aggressive,0.5798338,0.185654167,,,
0.5,Dictionary Learning,Bernoulli Naive Bayes,0.5798283,0.049852649,,,
0.5,CIFE,Bernoulli Naive Bayes,0.5773443,0.095581218,,,
0.5,Dictionary Learning,Nearest Neighbors,0.5745487,576.8583067,,,
0.1,Exact PCA,Quadratic Discriminant Analysis,0.5742747,0.034875015,,,
0.1,Randomized PCA,Quadratic Discriminant Analysis,0.5742747,0.039642449,,,
0.1,Non-Negative Matrix Factorization (reg),Quadratic Discriminant Analysis,0.5734625,0.040782233,,,
0.1,Dictionary Learning,Quadratic Discriminant Analysis,0.5733971,0.060399449,,,
0.1,Sparse PCA,Quadratic Discriminant Analysis,0.5733151,0.1388562,,,
0.1,Truncated SVD,Quadratic Discriminant Analysis,0.5732803,0.04091773,,,
0.1,Factor Analysis,Quadratic Discriminant Analysis,0.5719952,0.034525367,,,
0.5,MIM,Bernoulli Naive Bayes,0.5716406,0.135134268,,,
0.5,MIFS,Bernoulli Naive Bayes,0.5716406,0.064311171,,,
0.5,JMI,Bernoulli Naive Bayes,0.5715154,0.137712367,,,
0.1,Dictionary Learning,Bernoulli Naive Bayes,0.5697824,0.034652432,,,
0.5,Truncated SVD,Bernoulli Naive Bayes,0.5691093,0.073033381,,,
0.1,Factor Analysis,Bernoulli Naive Bayes,0.5660704,0.024132248,,,
0.1,Sparse PCA,Perceptron,0.5648311,0.086859767,,,
0.5,Truncated SVD,Nearest Neighbors,0.5623597,205.8902442,,,
0.5,Dictionary Learning,Quadratic Discriminant Analysis,0.5617853,0.190238452,,,
0.5,Factor Analysis,Quadratic Discriminant Analysis,0.5609438,1.257103864,,,
0.5,Sparse PCA,Bernoulli Naive Bayes,0.5606838,0.105748518,,,
0.5,Factor Analysis,Nearest Neighbors,0.5600426,199.602509,,,
0.1,Randomized PCA,Nearest Neighbors,0.5599883,78.46373675,,,
0.5,Factor Analysis,Bernoulli Naive Bayes,0.5598757,0.110968649,,,
0.1,Exact PCA,Nearest Neighbors,0.5584376,92.93214513,,,
0.5,LDA,Passive Aggressive,0.5573904,0.071137051,,,
0.1,Non-Negative Matrix Factorization (reg),Nearest Neighbors,0.5572902,92.99078735,,,
0.5,Sparse PCA,Nearest Neighbors,0.5569049,220.7936036,,,
0.5,Truncated SVD,Quadratic Discriminant Analysis,0.5569022,0.320529282,,,
0.1,LDA,Nearest Neighbors,0.5568271,21.46322637,,,
0.5,LDA,Nearest Neighbors,0.5568271,20.31883108,,,
0.1,Truncated SVD,Nearest Neighbors,0.5565392,90.82281,,,
0.5,Sparse PCA,Quadratic Discriminant Analysis,0.5558145,0.400203518,,,
0.1,Dictionary Learning,Nearest Neighbors,0.5547019,111.5759656,,,
0.5,MIM,Quadratic Discriminant Analysis,0.5536838,0.806132332,,,
0.5,MIFS,Quadratic Discriminant Analysis,0.5536838,0.209278051,,,
0.1,Sparse PCA,Nearest Neighbors,0.5535128,96.25510685,,,
0.5,Non-Negative Matrix Factorization (reg),Perceptron,0.5534207,0.234461347,,,
0.1,Truncated SVD,Perceptron,0.5534055,0.092987382,,,
0.5,Sparse PCA,Perceptron,0.5531870,0.166736917,,,
0.1,Exact PCA,Passive Aggressive,0.5518550,0.115375582,,,
0.1,Factor Analysis,Nearest Neighbors,0.5514724,90.06198707,,,
0.5,JMI,Quadratic Discriminant Analysis,0.5505364,0.546368504,,,
0.5,Truncated SVD,Perceptron,0.5497769,0.145609117,,,
0.5,Dictionary Learning,Perceptron,0.5466573,0.129593917,,,
0.1,Non-Negative Matrix Factorization (reg),Perceptron,0.5462442,0.105484303,,,
0.1,MIM,Passive Aggressive,0.5434518,0.090793065,,,
0.5,MIM,Perceptron,0.5414518,0.124205816,,,
0.5,MIFS,Perceptron,0.5414518,0.194815648,,,
0.5,JMI,Perceptron,0.5399701,0.323442602,,,
0.1,Dictionary Learning,Perceptron,0.5365184,0.086762849,,,
0.1,LDA,Perceptron,0.5339676,0.062249283,,,
0.5,LDA,Perceptron,0.5339676,0.064531867,,,
0.1,Sparse PCA,Passive Aggressive,0.5333227,0.108103148,,,
0.5,CIFE,Passive Aggressive,0.5306229,0.27117275,,,
0.1,Factor Analysis,Perceptron,0.5287114,0.097729782,,,
0.1,Truncated SVD,Passive Aggressive,0.5273448,0.106572533,,,
0.1,Exact PCA,Perceptron,0.5268784,0.112322783,,,
0.5,Factor Analysis,Perceptron,0.5264167,0.142068648,,,
0.5,CIFE,Perceptron,0.5242737,0.287736865,,,
0.5,Dictionary Learning,Passive Aggressive,0.5217316,0.199327751,,,
0.1,Randomized PCA,Perceptron,0.5210733,0.107185352,,,
0.1,Randomized PCA,Passive Aggressive,0.5206617,0.11886305,,,
0.5,Factor Analysis,Passive Aggressive,0.5205979,0.121027235,,,
0.1,Non-Negative Matrix Factorization (reg),Passive Aggressive,0.5150716,0.105688131,,,
0.5,JMI,Passive Aggressive,0.5078360,0.150188633,,,
0.1,Factor Analysis,Passive Aggressive,0.5064298,0.103119051,,,
0.5,MIFS,Passive Aggressive,0.5047742,0.198023733,,,
0.1,Dictionary Learning,Passive Aggressive,0.5000139,0.091502281,,,
0.5,Sparse PCA,Passive Aggressive,0.4996857,0.178862317,,,
0.1,LDA,Passive Aggressive,0.4992951,0.078093414,,,
0.1,MIM,Perceptron,0.4988902,0.09288425,,,
0.5,MIM,Passive Aggressive,0.4956134,0.116130284,,,
0.5,Truncated SVD,Passive Aggressive,0.4741424,0.161718365,,,
0.5,CIFE,Quadratic Discriminant Analysis,0.4390714,1.583192567,,,
0.1,Sparse PCA,Ridge,-0.0562912,0.021949216,,,
0.5,Sparse PCA,Ridge,-0.0567501,0.092150585,,,
0.1,Factor Analysis,Ridge,-0.0584456,0.014493497,,,
0.1,LDA,Ridge,-0.0586839,0.009631383,,,
0.5,LDA,Ridge,-0.0586839,0.003688232,,,
0.1,MIM,Ridge,-0.0590404,0.017047135,,,
0.5,CIFE,Ridge,-0.0592318,0.165201553,,,
0.1,Randomized PCA,Ridge,-0.0594008,0.02174325,,,
0.1,Exact PCA,Ridge,-0.0594008,0.01904285,,,
0.1,Non-Negative Matrix Factorization (reg),Ridge,-0.0595458,0.017600369,,,
0.5,Non-Negative Matrix Factorization (reg),Ridge,-0.0595922,0.0670958,,,
0.5,Truncated SVD,Ridge,-0.0596643,0.062206916,,,
0.1,Dictionary Learning,Ridge,-0.0596708,0.016879666,,,
0.1,Truncated SVD,Ridge,-0.0597089,0.016386533,,,
0.5,Dictionary Learning,Ridge,-0.0597851,0.079359885,,,
0.5,Factor Analysis,Ridge,-0.0597861,0.058833583,,,
0.5,JMI,Ridge,-0.0598431,0.079887434,,,
0.5,MIM,Ridge,-0.0598910,0.044215834,,,
0.5,MIFS,Ridge,-0.0598910,0.081083949,,,
,,,,,,,
